epoch loss: 548724788.8041054, Val loss: 2534520257.1538363, Time: 3597.997048854828
epoch loss: 408468642.79127604, Val loss: 291928085.7407554, Time: 3453.3856756687164
epoch loss: 272732756.755288, Val loss: 258523930.76246876, Time: 3543.4439520835876
epoch loss: 250951211.37182143, Val loss: 244930610.04974338, Time: 3566.7447690963745
epoch loss: 240703422.50626665, Val loss: 237390925.13857087, Time: 3632.549225330353
epoch loss: 234415716.80107898, Val loss: 232279703.7294381, Time: 3604.856948375702
epoch loss: 230074657.07911444, Val loss: 228867016.95591524, Time: 3816.2555186748505
epoch loss: 226931956.15658408, Val loss: 226122614.08501118, Time: 3756.9326617717743
epoch loss: 225313186.3856048, Val loss: 224823689.53704435, Time: 3724.6530289649963
Test Loss: 14.349932167558537
